"","Name","Line.1","Line.2","Town","County","Postcode","full_add","latitude","longitude"
"121","No.11 Pimlico Road","11 Pimlico Road","","London","Greater London","SW1W 8NA","11 Pimlico Road  SW1W 8NA London Greater London",51.49076845,-0.150880416502262
"122","No.32 The Old Town","32 The Pavement","","London","Greater London","SW4 0JE","32 The Pavement  SW4 0JE London Greater London",51.4631322,-0.1405744
"123","No.1A Duke Street","1a","Duke Street","Richmond","Greater London","TW9 1HP","1a Duke Street TW9 1HP Richmond Greater London",51.4614922,-0.3038809
"124","No.35 Mackenzie Walk","29-35","Mackenzie Walk","London","Greater London","E14 4PH","29-35 Mackenzie Walk E14 4PH London Greater London",51.5042192,-0.0218839
"125","La Gelatiera","1-2 West Park Walk","Stratford","London","Greater London","E20 1DH","1-2 West Park Walk Stratford E20 1DH London Greater London",51.5466628,-0.0099322
"126","La Gelatiera","27 New Row","","London","Greater London","WC2N 4LA","27 New Row  WC2N 4LA London Greater London",51.5112254,-0.1253489
"127","THE ROYAL AIR FORCE CLUB","128 Piccadilly","","London","Greater London","W1J 7PY","128 Piccadilly  W1J 7PY London Greater London",51.504243,-0.148681860600695
"128","Piece of Cake Cafe","75 East Dulwich Grove","","London","Greater London","SE22 8PR","75 East Dulwich Grove  SE22 8PR London Greater London",51.45870445,-0.0799276295110969
"129","Hunan","51 Pimlico Road","","London","Greater London","SW1W 8NE","51 Pimlico Road  SW1W 8NE London Greater London",51.49045925,-0.152804106491378
"130","Dolce Coffee ltd","48 Essex Road","","London","Greater London","N1 8LR","48 Essex Road  N1 8LR London Greater London",51.53758055,-0.0998408499999957
"131","Zima Russian Restaurant","45 Frith Street","","London","Greater London","W1D 4SD","45 Frith Street  W1D 4SD London Greater London",51.5133636,-0.131518843828799
"132","Holiday Inn Kensington Forum ","Kensington Forum","97 Cromwell Road","London","Greater London","SW7 4DN","Kensington Forum 97 Cromwell Road SW7 4DN London Greater London",51.49427215,-0.185118833413461
"133","Taste of Lahore Limited","249 Station Road","","Harrow","Greater London","HA1 2TB","249 Station Road  HA1 2TB Harrow Greater London",51.5828963,-0.331743
"134","The Green W7","13 Lower Boston Road","","London","Greater London","W7 3TX","13 Lower Boston Road  W7 3TX London Greater London",51.5067976,-0.3389213
"135","GAS MONKEY 3964 LIMITED","243 Lavender Hill","","London","Greater London","SW11 1JW","243 Lavender Hill  SW11 1JW London Greater London",51.4641993,-0.1629767
"136","Aqua Brasserie Blackheath Ltd","3-5","Montpelier Vale","London","Greater London","SE3 0TA","3-5 Montpelier Vale SE3 0TA London Greater London",51.466925,0.0086172
"137","Thai Square Richmond","29 Kew Road","","Richmond","Greater London","TW9 2NQ","29 Kew Road  TW9 2NQ Richmond Greater London",51.4639213,-0.301917612421135
